match,verdict,sponsors_h1b,h1b_approvals,days_ago,posted_on,title,company,location,strengths,gaps,min_years_req,red_flags,url
78,strong,unknown,0,7,2026-06-15,"Software Engineer II, Cloud Engineering",axon,"Seattle, Washington, United States","4.0 years experience matches the 4+ years AWS infrastructure requirement exactly | Deep AWS expertise across required services: S3, EC2, Lambda, Fargate, SNS/SQS, CloudWatch, IAM | Strong infrastructure-as-code skills with Terraform and Docker/Kubernetes experience | Python proficiency for data workflows and microservices architecture knowledge",No explicit mention of CDK or CloudFormation experience (job lists as 'must have' for IaC) | Background is full-stack/backend focused rather than specialized cloud infrastructure/DevOps engineering,4,,https://job-boards.greenhouse.io/axon/jobs/7773853003
78,strong,unknown,0,11,2026-06-11,Senior Full Stack Software Engineer,pluribusdigital,Remote,"Excellent full-stack coverage: Java Spring Boot, Angular, TypeScript, RESTful APIs, and modern cloud platforms (AWS, Azure, GCP) directly align with legacy modernization and full-stack development needs | Strong backend modernization experience: Spring Boot, Hibernate/JPA, microservices architecture, and API design position candidate well for refactoring legacy Java/Struts applications | Security and DevOps competencies: OAuth2, JWT, Spring Security, CI/CD, Docker, Kubernetes, and Terraform match the security and DevOps integration requirements | Agile and collaborative mindset: Demonstrated Scrum, TDD, code review culture, and cross-functional collaboration experience align with team-based delivery model","Seniority level mismatch: 4 years of experience is mid-level; role explicitly seeks 'Senior' engineer, typically requiring 7-10+ years. Candidate may lack depth in architectural decision-making, mentorship, and complex legacy system navigation at scale | No explicit IAM/Keycloak experience mentioned: Role emphasizes Keycloak and advanced IAM solutions; candidate has OAuth2/JWT but no demonstrated hands-on Keycloak implementation",5,,https://pluribusdigital.com/join/openings?gh_jid=7770293003
78,strong,yes,17,11,2026-06-11,"Software Engineer II, Backend (ML Training & Serving)",affirm,Remote US,"4 years of backend engineering experience exceeds the 1.5+ year minimum requirement | Strong Python proficiency with demonstrated microservices, distributed systems, and backend architecture experience | Extensive AWS expertise combined with Kubernetes, Docker, and infrastructure-as-code (Terraform) skills matching the distributed systems requirements | Proven experience with databases (MySQL, MongoDB, DynamoDB) and message queues (Kafka, SNS/SQS) critical for ML infrastructure","No explicit ML infrastructure, ML training pipelines, or ML serving platform experience mentioned—this is a specialized ML infrastructure role requiring domain knowledge the candidate may lack | No mention of ML frameworks (TensorFlow, PyTorch), model serving systems (TensorFlow Serving, KServe), or feature stores that are typical in ML training/serving teams",5,,https://job-boards.greenhouse.io/affirm/jobs/7762568003
78,strong,unknown,0,14,2026-06-08,Software Engineer - Cloud Platform,rdccareers,"Austin, Texas, United States","Full-stack expertise with React.js, Node.js, and TypeScript—directly applicable to Backstage frontend and backend development | Strong AWS cloud platform experience with proven microservices, Docker, Kubernetes, and infrastructure-as-code (Terraform) skills | Python proficiency for governance scripting and automation, plus Node.js for backend services and plugin development | 4 years of relevant experience at appropriate seniority level for this mid-level Cloud Platform Engineer role","No explicit mention of Backstage platform experience or Internal Developer Portal (IDP) work—will require onboarding to this specific ecosystem | Limited evidence of cloud governance, compliance automation, or IAM policy enforcement work—core focus area of the role",2,,https://boards.greenhouse.io/rdccareers/jobs/7765054003?gh_jid=7765054003
76,strong,yes,3,5,2026-06-17,"Sr. Software Engineer, Cloud Platform",poshmark,US California (Redwood City) - Office,"4+ years of relevant software engineering experience matches the requirement exactly | Extensive AWS expertise with distributed cloud architecture, microservices, and cloud-native technologies (Docker, Kubernetes, Terraform) | Strong backend foundation with Java Spring Boot, Node.js, and experience with NoSQL (MongoDB, DynamoDB), messaging (Kafka, SNS/SQS), and relevant infrastructure | Full-stack capabilities with HTML5, CSS3, JavaScript, and modern frontend frameworks align with product development needs","No Ruby or JRuby experience mentioned; Poshmark appears to use Ruby stack which is a notable gap for a senior role | No explicit mention of ElasticSearch or search infrastructure experience, though distributed systems background is strong | No mentioned experience with email or push notification technologies (listed as a plus, not required) | Degree requirement (BS/MS in CS or equivalent) not confirmed in candidate profile",4,,https://jobs.ashbyhq.com/poshmark/c39b36db-b21f-4836-91aa-b4f1ae96b8e4
76,strong,unknown,0,7,2026-06-15,"Software Developer II - Provisioning (Full Stack, Front End)",testnisc,"Cedar Rapids, IA","Full-stack development experience with both frontend (Angular, React, TypeScript) and backend (Java Spring Boot, Node.js, Python) skills matching the role's full-stack requirement | 4 years of experience aligns well with Software Developer II mid-level seniority expectations | Strong cloud and DevOps expertise (AWS, Azure, GCP, Docker, Kubernetes, Terraform, CI/CD) valuable for provisioning systems at scale | Microservices and SOA architecture experience directly applicable to enterprise telecom/utility provisioning solutions","No demonstrated experience with agentic AI systems or emerging AI technologies, which the job description emphasizes as a key interest area | No specific domain experience in telecommunications, utilities, or provisioning systems mentioned; will require domain onboarding",5,,https://job-boards.greenhouse.io/testnisc/jobs/8008471
76,strong,unknown,0,12,2026-06-10,Software Engineer III – Trust Service Team,idme,"Mountain View, California, United States","Java Spring Boot expertise directly aligns with backend-intensive Java service requirement | 4 years experience matches Software Engineer III seniority level well | Strong REST API design, database query optimization, and SQL/MySQL skills for data model ownership | Microservices, distributed systems, and cloud infrastructure (AWS, Docker, Kubernetes) experience for high-throughput production systems","No demonstrated experience with identity/authentication domain or trust/security-critical systems at scale | Limited evidence of API versioning, backwards compatibility, and contract-first design patterns in production | No mention of federal compliance, NIST standards, or regulated environment experience (job serves 20 federal agencies)",4,,https://job-boards.greenhouse.io/idme/jobs/7767397003
76,strong,unknown,0,13,2026-06-09,"Engineer II, Full Stack",bellese,United States,"Expert-level Java Spring Boot and backend microservices experience directly matching core tech stack | Full-stack capability with Angular, TypeScript, and JavaScript for UI development as required | 4 years experience with proven ability to design and deliver medium-to-large features in distributed systems | Strong cloud infrastructure knowledge (AWS, Azure, GCP) with Docker, Kubernetes, and Terraform for modernization initiatives","No demonstrated PostgreSQL experience (job uses PostgreSQL; candidate has MySQL/MongoDB/DynamoDB but not explicitly PostgreSQL) | No FHIR healthcare standards experience mentioned (nice-to-have but relevant for CMS/healthcare domain) | No AI/ML experience listed (nice-to-have but candidate lacks this) | Seniority slightly below 'Senior' level (4 years is mid-level; role is Engineer II/Senior, typically 5-7+ years expected)",,,https://jobs.lever.co/bellese/59e65d4f-3c44-4e20-b0b2-8d2cef9374a0
72,strong,unknown,0,4,2026-06-18,Senior Software Engineer (Python),patientpoint,"Remote, US","Strong Python expertise with 4 years of professional experience | Deep AWS knowledge with hands-on experience across multiple services (SNS/SQS, DynamoDB, etc.) | Proven backend/microservices architecture experience with RESTful APIs and scalable system design | Full-stack capability with modern development practices (CI/CD, TDD, Agile) and infrastructure-as-code (Terraform, Docker, Kubernetes)","Seniority mismatch: 4 years experience vs Senior role typically requiring 6-8+ years; candidate is mid-level, not senior | No demonstrated experience with Google Ad Manager or Elasticsearch, which are explicitly called out as core technologies for this role",2,,https://job-boards.greenhouse.io/patientpoint/jobs/4707486005
72,strong,unknown,0,4,2026-06-18,"Software Engineer, Product Experiences",peregrinetechnologies,"San Francisco, California, Unites States","Strong full-stack capabilities with React, TypeScript, and Python - core to Peregrine's stack | 4 years of experience matches mid-level expectations for product-focused engineering role | Extensive backend experience with Django-adjacent frameworks (Spring Boot), Kafka, and data pipeline tools (Airflow-adjacent with orchestration knowledge) | AWS expertise and infrastructure-as-code (Terraform, Kubernetes) aligns with Peregrine's deployment model","No explicit Django or Celery experience listed - Peregrine's backend foundation; candidate has Spring Boot but not the specific framework | No mention of Elasticsearch, PostgreSQL, or semantic search/discovery experience - critical for search and dossier features | No demonstrated experience with ML/AI integration (Bedrock, SageMaker) or working with ML models in production | Limited evidence of working on geospatial/mapping features (Mapbox) or real-time collaborative experiences at scale",2,,https://job-boards.greenhouse.io/peregrinetechnologies/jobs/4704820005
72,strong,unknown,0,4,2026-06-18,"Software Engineer, Identity",scaleai,"San Francisco, CA; New York, NY","4.0 years of full-time engineering experience matches the 4+ years requirement exactly | Strong infrastructure expertise: AWS, Azure, GCP, Docker, Kubernetes, Terraform, CI/CD, microservices architecture | Deep authentication/authorization knowledge: OAuth2, JWT, Spring Security, RESTful APIs, GraphQL - directly applicable to identity systems | Distributed systems and cloud platform experience (AWS preferred) with proven microservices and SOA background","No demonstrated hands-on experience with specialized authorization frameworks (OpenFGA, Authzed, Cedar, Topaz) or Zanzibar-based ReBAC models - critical for this identity-focused role | No explicit mention of SSO, MFA, SAML, OIDC, or federated identity solutions implementation experience | No evidence of IAM controls expertise or identity governance/compliance work (NIST, SOC2, ISO 27001) | Limited visibility into independent ownership of infrastructure/identity projects at scale or presenting technical guidance to security/audit teams",4,,https://job-boards.greenhouse.io/scaleai/jobs/4706566005
72,strong,unknown,0,5,2026-06-17,"Senior Software Engineer, WebOTT",tubitv,"San Francisco, CA (Hybrid)","Strong React.js and TypeScript expertise with 4 years of full-stack experience | Proven Node.js backend skills and experience with CI/CD pipelines (Jenkins, GitHub Actions equivalent) | Solid infrastructure knowledge: Terraform, Docker, Kubernetes, CDN-adjacent cloud platforms (AWS, Azure, GCP) | Web performance optimization mindset demonstrated through microservices and API design experience",Seniority mismatch: 4 years experience vs. 5+ years required for Senior role; no explicit mentoring or leadership track record mentioned | No demonstrated OTT/streaming platform experience or low-end device optimization expertise | Redux not explicitly listed in skills (React state management critical for this role) | No evidence of leading engineering initiatives or cross-functional stakeholder communication at scale,5,,https://job-boards.greenhouse.io/tubitv/jobs/8013661
72,strong,unknown,0,5,2026-06-17,"Software Engineer, Virality and Activation",otterai,"Mountain View, CA","4 years of backend engineering experience aligns well with the 2-4 year requirement | Strong Python skills and experience with multiple backend frameworks (Spring Boot, Express.js, Node.js) demonstrate backend depth | Extensive database experience including MySQL, MongoDB, Redis, and DynamoDB matches the relational + NoSQL requirement | Solid AWS experience (EC2, S3 implied through cloud work) and multi-cloud exposure (Azure, GCP)","No explicit Django experience mentioned—job specifically calls for Django; candidate has Spring Boot, Express.js, Node.js but not the named framework | No demonstrated product analytics or A/B testing experience listed; job emphasizes this as a key responsibility and growth area",2,,https://otter.ai/careers?gh_jid=7776934003
72,strong,unknown,0,5,2026-06-17,Software Engineer II - Integrations,limble,"Charlotte, North Carolina","4 years of experience exceeds 3+ year requirement with solid backend and microservices foundation | Strong Node.js and TypeScript proficiency demonstrated across multiple roles | Extensive REST API, OAuth2, JWT, and third-party API integration experience directly applicable to customer-facing API work | SQL and relational database expertise (MySQL) plus NoSQL experience (MongoDB, DynamoDB)",No demonstrated experience with iPaaS platforms (Prismatic or competitors) - this is a core requirement and significant knowledge gap | No evidence of webhook integration experience or IoT/ERP system integration work specific to the domain | Limited evidence of customer-facing API design or developer experience improvements in portfolio,3,,https://jobs.ashbyhq.com/limble/5d5a5755-1859-44c6-bcd7-566a63c9f0ad
72,strong,unknown,0,5,2026-06-17,Full Stack Engineer,patlytics,New York,"Full-stack experience with Python backend, frontend frameworks (Angular, React, Vue.js), and microservices architecture directly applicable to Python/FastAPI + Next.js stack | 4 years of relevant experience at appropriate seniority level for full-stack feature ownership; demonstrates ability to work across backend services, data pipelines, and frontend optimization | Strong DevOps/infrastructure skills (Docker, Kubernetes, Terraform, AWS, CI/CD, Jenkins) essential for scalable systems handling millions of requests; experience with message queues (Kafka, SNS/SQS) relevant to data pipeline work","No demonstrated Next.js experience (candidate has Angular, React, Vue.js but not Next.js specifically); FastAPI not explicitly listed though Python expertise present | No mention of LLM/AI platform experience or machine learning inference pipeline work, which appears central to Patlytics' product differentiation and core backend service",4,senior/8+yr signals in JD,https://jobs.ashbyhq.com/patlytics/15f8c987-b446-44d4-bdd3-8acc56ef5ea2
72,strong,unknown,0,6,2026-06-16,Full Stack Agentic Developer,charlesriverassociates,"Boston, MA, United States; Chicago, IL, United States; Dallas, Texas, United States; Houston, Texas, United States; New York, NY, United States; Oakland, CA, United States; Washington, DC, United States","Solid full-stack foundation: React, TypeScript, Node.js/Express, and backend API design align directly with the tech stack (React/Vite, Node.js/TypeScript, Express) | 4 years of relevant experience with microservices, cloud platforms (Azure, AWS, GCP), and distributed systems—appropriate seniority for a senior full-stack role | Demonstrated expertise in authentication (OAuth2, JWT, Spring Security), real-time systems (Kafka, streaming patterns), and observability (Splunk)—critical for agent monitoring and session workflows | Production-grade full-stack capabilities: SQL/PostgreSQL-adjacent (MySQL, DynamoDB), file management patterns, CI/CD, and API design (RESTful, GraphQL, OpenAPI/Swagger)","No explicit LLM, agentic systems, or AI agent runtime experience listed—the role requires hands-on understanding of agent planning, tool use, error recovery, and prompt/context systems, which is a core differentiator | No mention of React/Vite, streaming UI patterns, or real-time frontend state management (RxJS listed but not in React context)—agentic streaming and live agent activity monitoring are central to this role",6,,https://job-boards.greenhouse.io/charlesriverassociates/jobs/7983777
72,strong,unknown,0,6,2026-06-16,"Software Engineer III, Edge Networking Platform",boxinc,"Redwood City, CA, United States","4 years of professional software engineering experience with demonstrated backend focus (Backend Software Engineer, Microservices Engineer titles) | Strong Python proficiency with production-grade service building experience across multiple roles | Infrastructure as Code expertise with Terraform and cloud platforms (AWS, Azure, GCP) directly applicable to network resource provisioning | Microservices architecture and API design experience (RESTful, GraphQL, OpenAPI/Swagger) relevant to backend service design",No demonstrated networking fundamentals or edge networking platform experience mentioned; role emphasizes 'strong networking fundamentals' as grounding for the work | Limited evidence of Infrastructure as Code at scale or network-specific automation; Terraform experience present but networking domain expertise unclear,3,,https://job-boards.greenhouse.io/boxinc/jobs/7569571
72,strong,yes,2,7,2026-06-15,"Software Engineer, Full Stack, Growth Team ",fubotv,"New York, NY ","4 years of experience matches the 4-6 year requirement exactly | Strong full-stack capabilities with React, TypeScript, Node.js, and backend experience across multiple languages | Extensive database experience with PostgreSQL, Redis, and multiple cloud platforms (GCP, AWS, Azure) | Kubernetes, Docker, CI/CD, Git, and DevOps tooling expertise directly align with job requirements","No Go experience listed - this is a significant gap for a backend-leaning role where Go is the primary backend language; while candidate has Java Spring Boot and Node.js, Go is a compiled language with different paradigms | No explicit mention of A/B testing, feature flags, or analytics development experience | No demonstrated SEO engineering best practices experience | No mention of AI coding assistant experience (Claude/Cursor) - though this is learnable, it's called out as part of daily workflow",4,,https://careers.fubo.tv/fubotv-job-openings/?gh_jid=8008137
72,strong,unknown,0,7,2026-06-15,Senior Software Engineer ,alumniventures,"Andover, MA","4 years of full-stack and backend experience aligns well with building internal/investor-facing applications and APIs | Strong expertise in data transformation, APIs (REST, GraphQL), and integrations across multiple cloud platforms (AWS, Azure, GCP) | Proven microservices, automation, and workflow design experience directly applicable to converting spreadsheet processes into scalable systems | US work authorization confirmed with no sponsorship required","Senior-level role typically requires 6-8+ years; candidate has 4 years, placing them at mid-level rather than senior seniority | No demonstrated experience with financial systems, venture capital operations, or investor reporting workflows—domain knowledge gap for this VC-specific role",6,,https://job-boards.greenhouse.io/alumniventures/jobs/4285969009
72,strong,unknown,0,8,2026-06-14,Senior Full Stack Software Engineer,Cynch AI,"San Francisco, California, United States","Full-stack engineer with backend bias matches role perfectly; 4 years experience with production systems at appropriate seniority level for Senior role | Strong backend fundamentals: microservices, APIs, data modeling, databases (SQL, MongoDB), cloud platforms (AWS, Azure, GCP), Docker/Kubernetes, CI/CD, observability (Splunk) | Proven ability to build reliable production systems: Spring Boot, RESTful/GraphQL APIs, authentication (OAuth2, JWT), TDD, and experience with complex integrations and data pipelines | US work authorization eliminates visa/sponsorship friction; full-stack capability with TypeScript, Python, Java, React, Node.js aligns with stated tech stack","No demonstrated experience with Go, Julia, or Postgres specifically (though SQL/database experience transfers); job description emphasizes these as part of their stack | No explicit mention of AI-assisted development workflows or experience evaluating/constraining AI-generated code; role is 'all-in on AI' and this is central to the position | Limited evidence of domain expertise in tax/accounting, document processing, or compliance systems; while not required, the role involves building execution engines for tax workflows and the candidate's background appears more generic full-stack",,,https://jobs.workable.com/view/urhRVSBgPiBom9eMeiCopb/hybrid-senior-full-stack-software-engineer-in-san-francisco-at-cynch-ai
72,strong,yes,1,9,2026-06-13,Software Engineer Full Stack,Faro Health Inc.,"San Diego, United States","Proficient in both TypeScript and Python, the two primary languages required | Strong full-stack capabilities with React, Node.js, Express.js, HTML5, CSS3 matching frontend stack | Extensive microservices, Docker, Kubernetes, and cloud experience (AWS, Azure, GCP) aligning with SaaS architecture needs | Experience with event-driven systems (Kafka, SNS/SQS) and message queues as required","4 years experience vs 5+ years required; slightly below seniority threshold | No mention of PostgreSQL specifically (job prefers it); only MySQL/SQL experience shown | No demonstrated experience with UV, Vite, or modern frontend build tooling mentioned in job | No explicit mention of Redis caching or Inversify framework experience",5,,https://jobs.workable.com/view/aaZAevGisCEsAcbmNoVieb/hybrid-software-engineer-full-stack-in-san-diego-at-faro-health-inc.
72,strong,unknown,0,10,2026-06-12,"Software Developer II - Financials (Full Stack, Front End)",testnisc,"Cedar Rapids, IA","Full-stack development experience with 4 years tenure matching Software Developer II level | Strong frontend skills (Angular, TypeScript, React, Vue.js, HTML5/CSS3) for financials UI work | Comprehensive backend capabilities (Java Spring Boot, Python, Node.js, RESTful APIs, GraphQL) for financial systems | Enterprise cloud infrastructure experience (AWS, Azure, GCP, Docker, Kubernetes, Terraform) suitable for utility/financial software","No demonstrated experience with financial domain systems, accounting, payroll, or utility billing software (iVUE Connect or similar ERP systems) | Limited evidence of agentic AI/emerging AI systems experience despite job's emphasis on intelligent automation exploration | No mention of specific financial software frameworks or compliance requirements (SOX, audit trails, financial reporting standards)",5,,https://job-boards.greenhouse.io/testnisc/jobs/8003818
72,strong,unknown,0,10,2026-06-12,"Software Engineer, Infrastructure",chime,"Remote, USA","4 years of experience aligns well with the 2-4 year requirement for this infrastructure role | Hands-on production experience with Terraform, Kubernetes, Docker, and AWS (DynamoDB, RDS) directly matches core job requirements | Strong Python skills plus backend/microservices engineering background provides solid foundation for infrastructure-as-code and systems thinking | Experience with Spring Boot, microservices architecture, and distributed systems demonstrates understanding of scalable, reliable infrastructure design","No explicit mention of data engineering, ETL pipelines, or data platform experience (listed as 'strong plus' but valuable context for this data infra role) | Limited evidence of infrastructure-focused career trajectory—background is primarily full-stack/backend software engineering rather than dedicated platform/infrastructure engineering, which may indicate less depth in systems-level reliability and capacity planning patterns",2,,https://boards.greenhouse.io/chime/jobs/8573625002?gh_jid=8573625002
72,strong,unknown,0,10,2026-06-12,Senior Front End Software Engineer,debtbook,"Charlotte, NC","4 years of experience matches the 4+ years requirement exactly | Strong React and TypeScript expertise with Angular and Vue.js experience demonstrating modern frontend mastery | Full-stack background with Java Spring Boot, Node.js, and SQL/database experience enables comfortable backend touching (Rails equivalent skills transferable) | AWS cloud platform experience aligns with job's AWS infrastructure","No professional Ruby on Rails experience (job lists as a plus, but candidate has Spring Boot/Node.js equivalents) | No demonstrated PostgreSQL experience (has MySQL, MongoDB, DynamoDB but not the specific DB used) | No explicit mention of AI-assisted development experience or demonstrated enthusiasm for it (job emphasizes this as a key responsibility) | Limited evidence of mentoring/coaching experience at senior level (role requires coaching teammates and onboarding)",4,,https://job-boards.greenhouse.io/debtbook/jobs/4705565005
72,strong,unknown,0,11,2026-06-11,Siena - Fullstack Engineer,silver,Remote,"Strong full-stack capabilities with Node.js, TypeScript, React, and Express—core stack match | Solid AWS experience (multiple services) and infrastructure-as-code skills (Terraform, Docker, Kubernetes) | Microservices, scalable systems, and event-driven architecture (Kafka, SNS/SQS) directly align with role requirements | CI/CD pipeline experience (Jenkins, and familiarity with deployment automation)","LLM/AI production experience not evident in candidate profile—job explicitly states this is a must-have, not a bonus | Seniority gap: candidate has 4 years, role requires 5+ years of ownership; borderline but slightly under | No mention of Next.js (bonus but increasingly common in modern Node/React stacks) | No explicit customer support or CX software background mentioned",5,,https://jobs.ashbyhq.com/silver/f69efa5f-3be5-4a6c-addd-6e5f43811e4f
